Cluster_name,RA_2000,Dec_2000,l,b,Dist,Mod,EB-V,Age,ST,Z,Diam,Fe/H,MRV,pm RA,pm Dec
Berkeley 57,22 55 08,+57 05 54,107.613,-2.273,4150,15.2,0.75,9.15,,-164.6,5,,,,
Berkeley 58,00 00 12,+60 58 00,116.753,-1.289,3715,14.55,0.55,8.4,,-83.6,5,,,,
Berkeley 59,00 02 13,+67 25 11,118.22,5,1000,13.78,1.22,6.8,,87.2,20.4,,-6.5,-4.4,0.73
Berkeley 6,01 51 12,+61 05 00,130.094,-0.955,2300,14.25,0.78,8,,-38.3,5,,,,
Berkeley 60,00 17 42,+60 56 00,118.844,-1.67,4365,15.87,0.86,8.2,,-127.2,3,0.07,,,
Berkeley 61,00 48 30,+67 12 00,122.647,4.33,3335,16,1.09,8.3,,251.8,3,,,,
Berkeley 62,01 01 00,+63 57 00,123.982,1.098,1837,13.96,0.852,7.185,,35.2,5,,,,
Berkeley 63,02 19 36,+63 43 00,132.506,2.496,3305,15.4,0.9,8.7,,143.9,3,,,,
Berkeley 64,02 21 06,+65 54 00,131.919,4.605,3981,16.25,1.05,9,,319.6,2,-0.61,,,
Berkeley 65,02 39 00,+60 25 00,135.834,0.268,2274,15.26,1.121,6.995,,10.6,5,,,,
Berkeley 66,03 04 18,+58 46 00,139.434,0.218,5200,17.46,1.25,9.7,,19.8,4,,,,
Berkeley 67,04 37 49,+50 46 47,154.826,2.49,2450,14.4,0.79,9,,106.4,10,,,,
Berkeley 68,04 44 30,+42 04 00,162.125,-2.408,1678,13.2,0.671,8.391,,-70.5,12,,,-3.18,-2.33
Berkeley 69,05 24 36,+32 39 00,174.435,-1.787,2860,14.3,0.65,8.95,,-89.2,3,,,-0.25,-3.93
Berkeley 7,01 54 12,+62 22 00,130.138,0.376,2570,14.53,0.8,6.6,,16.9,4,,,,
Berkeley 70,05 25 42,+41 54 00,166.894,3.58,4158,14.58,0.48,9.67,,259.6,6,-0.32,,,
Berkeley 71,05 40 56,+32 16 42,176.626,0.898,3900,15.59,0.85,8.8,,61.1,5,,,,
Berkeley 72,05 50 18,+22 12 00,186.315,-2.575,3810,15.35,0.79,8.78,,-171.2,2,,,,
Berkeley 73,06 22 00,-06 21 00,215.278,-9.424,6850,14.5,0.1,9.36,,-1121.6,2,,,,
Berkeley 75,06 48 59,-23 59 30,234.3,-11.12,9800,15.2,0.08,9.48,,-1890.1,3,-0.68,,,
Berkeley 76,07 06 41,-11 43 30,225.093,-1.991,12600,17.21,0.55,9.18,,-437.8,5,,,,
Berkeley 77,07 21 27,-03 14 01,219.253,5.181,4630,13.7,0.12,8.8,,418.1,5,,,,
Berkeley 78,07 23 38,+05 22 00,211.789,9.597,,,,,,,2,,,,
Berkeley 79,18 45 12,-01 13 00,31.138,0.833,2300,15.5,1.19v,7.81,,33.4,6,,,,
Berkeley 8,02 01 06,+75 29 00,127.352,13.213,3150,14.85,0.75,9.5,,777,5,,,,
Berkeley 80,18 54 22,-01 13 00,32.183,-1.206,3300,14.8,1.1,8.48,,-69.5,4,,,,
Berkeley 81,19 01 36,-00 31 00,34.505,-2.068,3000,15.49,1,9,,-108.3,5,,,,
Berkeley 82,19 11 24,+13 04 00,46.815,1.586,860,12.84,1.021,7.493,,23.8,2,,,,
Berkeley 83,20 01 18,+28 37 00,66.057,-0.922,,,,,,,2,,,,
Berkeley 84,20 04 43,+33 54 18,70.924,1.271,2025,13.9,0.76,8.08,,44.9,2,,,,
Berkeley 85,20 18 55,+37 45 33,75.726,0.981,1760,13.61,0.77,9,,30.1,10,,,,
Berkeley 86,20 20 24,+38 42 00,76.667,1.272,1112,13.01,0.898,7.116,,24.7,6,,-19.3,-4.09,-4.54
Berkeley 87,20 21 42,+37 22 00,75.715,0.304,633,13.25,1.369,7.152,,3.4,10,,,,
Berkeley 88,20 21 36,+48 05 00,84.552,6.395,,,,,,,2,,,,
Berkeley 89,20 24 36,+46 03 00,83.16,4.822,3005,15.58,1.03,8.93,,252.6,3,,,,
Berkeley 9,03 32 37,+52 39 04,146.062,-2.828,820,12.02,0.79,9.6,,-40.6,4,,,,
Berkeley 90,20 35 18,+46 50 00,84.877,3.784,2430,15.5,1.15,8,,160.4,5,,,,
Berkeley 91,21 10 52,+48 32 00,90.064,0.132,2400,15,1,8.7,,5.5,3,,,,
Berkeley 92,21 24 47,+57 32 00,97.926,5.07,,,,,,,2,,,,
Berkeley 93,21 56 12,+63 56 00,105.072,7.319,5600,18.39,1.5,8,,713.4,2,,,,
Berkeley 94,22 22 42,+55 51 00,103.095,-1.185,2630,13.98,0.608,6.996,,-54.4,3,,,3.32,-1.1
Berkeley 95,22 28 18,+59 08 00,105.471,1.203,3260,16.8,1.36,7.55,,68.4,3,,,,
Berkeley 96,22 29 24,+55 24 00,103.661,-2.066,3087,14.4,0.63,6.822,,-111.3,2,,,,
Berkeley 97,22 39 30,+59 01 00,106.656,0.379,1800,13.6,0.75,7.3,,11.9,2,,,,
Berkeley 98,22 42 38,+52 23 16,103.856,-5.648,3730,13.26,0.13,9.4,,-367.1,14,,,,
Berkeley 99,23 21 36,+71 45 00,115.952,10.106,4900,14.38,0.3,9.5,,859.8,5,,,,
BH 106,10 52 42,-54 14 00,286.048,4.7,,,,,,,3,,,,
BH 110,11 07 18,-61 27 00,290.821,-1.051,,,,,,,2,,,,
BH 111,11 09 14,-63 49 48,291.95,-3.16,2700,12.93,0.25,8.35,,-148.8,13.2,,,-9.64,0.95
BH 118,11 23 03,-58 33 00,291.603,2.364,,,,,,,2,,,,
BH 121,11 38 06,-63 19 48,294.81,-1.62,2735,13.08,0.29,6.64,,-77.3,30,,-3.76,-5.12,1.05
BH 131,12 26 36,-63 25 00,300.139,-0.678,,,,,,,5,,,,
BH 132,12 27 00,-64 04 00,300.264,-1.322,,,0.6,8.18,,,4,,,,
BH 140,12 53 06,-67 10 00,303.094,-4.295,,,,,,,5,,,,
BH 144,13 15 16,-65 55 12,305.362,-3.161,12000,17.57,0.7,8.9,,-660.7,1.5,,,19.88,-45
BH 150,13 37 54,-63 21 00,308.114,-0.947,,,,,,,6,,,,
BH 151,13 40 18,-61 42 00,308.69,0.624,,,,,,,10,,,,
BH 164,14 48 14,-66 20 23,314.28,-6.07,550,9.1,0.13,7.14,,-58.2,48,,13.5,-7.36,-11.14
BH 176,15 39 24,-50 03 00,328.45,4.312,13400,15.04,0.77,,,255.6,3,,,,
BH 19,08 07 05,-32 21 00,249.879,-0.018,,,,,,,3,,,,
BH 197,16 46 48,-45 48 00,339.479,-0.335,,,,,,,4,,,,
BH 200,16 49 56,-44 11 00,341.152,0.282,,,,,,,5,,,,
BH 202,16 55 08,-40 57 00,344.259,1.594,,,,,,,5,,,,
BH 205,16 56 09,-40 40 11,344.59,1.62,2160,12.6,0.3,7.12,,61.1,7.2,,-7,-1.12,-1.22
BH 208,16 59 36,-37 05 00,347.829,3.321,,,,,,,2,,,,
BH 211,17 02 11,-41 06 00,344.966,0.458,,,,,,,4,,,,
BH 214,17 05 42,-36 40 00,348.904,2.608,,,,,,,5,,,,
BH 217,17 16 18,-40 49 00,346.782,-1.513,1213,10.42,0.6,7.54,,-32,5,,,,
BH 221,17 18 39,-32 20 24,353.97,3,750,9.99,0.2,8.01,,39.3,27.6,,6.33,2.84,-3.1
BH 222,17 18 47,-38 17 00,349.127,-0.442,6000,19.63,1.85,7.78,,-46.3,2,,,,
BH 223,17 20 41,-35 53 00,351.311,0.623,6000,19.63,1.85,7.78,,,6,,,,
BH 23,08 14 05,-36 21 36,254.02,-1,437,8.36,0.05,7.14,,-7.6,38.4,,17.4,-7.47,7.12
BH 245,17 46 16,-29 42 00,359.421,-0.518,1000,16.97,2.25,7.17,,-9,1,,,,
BH 261,18 14 05,-28 38 00,3.36,-5.264,,,,,,,1.5,,,,
BH 34,08 31 15,-44 30 00,262.57,-2.97,950,9.98,0.03,8.48,,-49.2,30,,,-7.81,4.02
BH 37,08 35 49,-43 37 00,262.353,-1.784,2500,15.25,1.05,8.85,,-77.8,3,,,,
BH 4,07 37 44,-36 04 00,249.986,-7.13,19300,17.82,0.32,8.3,,-2395.5,2,,,,
BH 47,08 42 33,-48 05 13,266.621,-3.569,2465,14.22,0.73,8.9,,-154,12,,,,
BH 52,08 46 30,-52 54 00,270.81,-6.047,,,,,,,6,,,,
BH 54,08 49 41,-44 22 00,264.482,-0.284,1300,12.89,0.75,7.78,,-6.44,4,,,,
BH 55,08 56 11,-39 31 00,261.527,3.749,,,,,,,2,,,,
BH 56,08 57 07,-43 15 00,264.48,1.46,680,9.78,0.2,7.24,,17.3,36,,-18,-4.88,6.08
BH 58,09 10 12,-56 16 00,275.621,-5.619,,,,,,,2,,,,
BH 60,09 15 53,-50 01 00,271.657,-0.708,,,,,,,2,,,,
BH 63,09 20 39,-49 13 23,271.631,0.399,2300,17.7,1.9,8.85,,16,2,,,,
BH 66,09 25 18,-54 43 00,276.003,-3.006,7000,15.47,0.4,8.9,,-367.1,4,,,,
BH 67,09 26 45,-51 16 00,273.759,-0.375,7400,17.3,0.95,9.08,,-48.4,4,,,,
BH 72,09 31 24,-53 03 00,275.503,-1.18,,,,,,,2,,,,
BH 73,09 31 56,-50 13 00,273.634,0.951,,,,,,,1.5,,,,
BH 75,09 34 48,-54 42 00,276.991,-2.053,,,,,,,3,,,,
BH 78,09 43 42,-56 33 00,279.159,-2.607,,,,,,,1.5,,,,
BH 79,09 44 06,-53 18 00,277.09,-0.099,,,,,,,2,,,,
BH 84,10 01 19,-58 13 00,282.055,-2.417,,,,,,,4,,,,
BH 85,10 01 52,-49 34 00,276.914,4.544,,,,,,,3,,,,
BH 87,10 04 18,-55 26 00,280.719,0.059,,,0.1,8.18,,,3,,,,
BH 88,10 06 30,-51 34 00,278.7,3.374,,,,,,,4,,,,
BH 91,10 17 16,-58 42 00,284.03,-1.6,740,9.59,0.08,8.21,,-20.7,18,,,-6.25,4.22
BH 92,10 19 07,-56 25 00,282.984,0.438,,,,,,,2,,,,
BH 99,10 37 54,-59 11 00,286.558,-0.625,507,8.7,0.055,7.605,,-5.5,20,,,-13.74,1.4
Biurakan 1,20 07 30,+35 42 00,72.74,1.76,1600,12.04,0.33,7.25,,49.1,26.4,,-8.48,-3.51,-6.24
Biurakan 2,20 09 12,+35 29 00,72.751,1.345,1106,11.33,0.36,7.011,,26,20,,,-2.52,-6.53
Blanco 1,00 04 07,-29 50 00,15.572,-79.261,269,7.18,0.01,7.796,B5,-264.3,70,0.23,,20.17,3
Bochum 1,06 25 30,+19 46 00,192.431,3.401,2800,13.69,0.47,7,,166.3,18,,,,
Bochum 10,10 42 12,-59 08 00,287.016,-0.315,2027,12.48,0.306,6.857,,-11.1,20,,,,
Bochum 11,10 47 15,-60 05 00,288.025,-0.856,2412,13.7,0.576,6.764,,-36,21,,,,
Bochum 12,10 57 24,-61 43 00,289.854,-1.775,2218,12.47,0.24,7.61,,-68.7,10,,,,
Bochum 13,17 17 24,-35 33 00,351.202,1.36,1077,12.81,0.854,6.823,,25.6,14,,,0.26,-1.56
Bochum 14,18 02 00,-23 41 00,6.388,-0.499,578,13.48,1.508,6.996,,-5,2,,,,
Bochum 15,07 40 06,-33 32 00,247.988,-5.483,2806,14.03,0.576,6.742,,-268.1,3,,,,
Bochum 2,06 48 54,+00 23 00,212.302,-0.39,2661,14.7,0.831,6.665,,-18.1,1.5,,66.3,,
Bochum 3,07 03 24,-05 03 00,218.789,0.35,1762,11.97,0.24,7.89,,10.8,4,,,,
Bochum 4,07 31 37,-17 11 36,232.753,0.774,2291,13.75,0.63,7,,30.9,5,,,-2.59,0.8
Bochum 5,07 31 00,-16 56 00,232.454,0.77,872,10.3,0.194,7.545,,11.7,15,,,-2.67,1.43
Bochum 6,07 32 00,-19 25 00,234.745,-0.218,2500,14.19,0.71,7,,-15.1,10,,,,
Bochum 7,08 44 48,-45 58 00,265.189,-1.958,5754,16.47,0.86,7,,-196.6,20,,,-3.65,5
Bochum 8,10 11 54,-58 04 00,283.099,-1.476,2572,13.68,0.526,7.943,,-66.3,4,,,,
Bochum 9,10 35 46,-60 07 00,286.784,-1.569,4600,15.27,0.63,,,-126,15,,,,
Brandt 1,08 09 32,-47 20 12,262.803,-7.686,,,,,,,18,,,,
Carraro 1,10 37 00,-58 44 00,286.236,-0.289,1900,12.17,0.25,9.48,,-9.6,4,,,,
Chereul 1,14 29 04,+55 23 30,97.639,56.679,105,5.11,,,,87.7,,,,,
Chereul 2,21 37 18,+06 00 48,60.768,-32.569,97,4.93,,,,-52.2,,,,,
Chereul 3,21 20 12,+02 12 54,54.198,-31.329,89,4.75,,,,-46.3,,,,,
Chupina 1,08 50 07,+11 56 42,215.399,31.694,,,,,,,5,,,,
Chupina 2,08 50 30,+12 17 42,215.07,31.925,,,,,,,2.1,,,,
Chupina 3,08 51 27,+11 23 42,216.147,31.759,,,,,,,2.9,,,,
Chupina 4,08 52 00,+12 22 42,215.159,32.293,,,,,,,5,,,,
Chupina 5,08 53 01,+11 51 42,215.838,32.304,,,,,,,4.5,,,,
Collinder 104,06 36 30,+04 49 00,206.943,-1.116,,,,,,,20,,,,
Collinder 106,06 37 22,+05 56 59,206.03,-0.41,1600,11.73,0.23,6.74,B0,-11.4,62.4,,28.72,-1.98,1.47
Collinder 107,06 37 42,+04 44 00,207.154,-0.888,1738,12.87,0.54,7,B0,-26.9,29,,,,
Collinder 110,06 38 24,+02 01 00,209.649,-1.978,1950,13,0.5,9.15,,-67.3,18,,,0.59,-1.41
Collinder 111,06 38 42,+06 54 00,205.343,0.327,,,,,,,3,,,,
Collinder 115,06 46 30,+01 46 00,210.797,-0.292,,,,,,,10,,,,
Collinder 121,06 54 12,-24 25 00,235.702,-9.991,471,8.45,0.028,7.054,B3,-81.7,89,,26,-5.68,3.7
Collinder 132,07 15 20,-30 41 00,242.989,-8.802,472,8.48,0.037,7.08,B3,-72.2,80,,,-2.01,2.9
Collinder 135,07 17 17,-36 49 00,248.765,-11.132,316,7.6,0.032,7.407,B3,-61,50,,34,-10.7,5.3
Collinder 140,07 23 12,-32 02 00,244.93,-7.591,405,8.13,0.03,7.548,B3,-53.5,29,-0.1,10.5,-7.33,2.7
Collinder 173,08 02 49,-46 23 00,261.375,-8.163,421,8.28,0.05,7.142,,-59.8,370,,,,
Collinder 185,08 23 21,-36 20 00,255.056,0.557,1486,11.51,0.21,8.11,,14.4,6,,,-2.81,3.72
Collinder 187,08 24 13,-29 10 00,249.277,4.811,,,,,,,5,,,,
Collinder 196,08 45 00,-31 38 00,253.944,6.958,,,,,,,3,,,,
Collinder 197,08 44 51,-41 14 00,261.486,0.991,838,11.32,0.548,7.128,,14.5,25,,33.1,-9.8,7.4
Collinder 198,08 45 18,-31 46 00,254.089,6.926,,,,,,,5,,,,
Collinder 205,09 00 32,-48 59 00,269.209,-1.843,1853,13.66,0.75,7.2,,-59.6,5,,8.5,-3.86,6.5
Collinder 21,01 50 11,+27 04 00,138.733,-33.996,,,,,,,9,,,,
Collinder 213,09 54 35,-50 55 11,276.82,2.76,1400,10.95,0.07,8.84,,67.4,18,,,-3.96,2.58
Collinder 223,10 30 30,-59 49 00,286.19,-1.879,1686,11.95,0.263,7.014,,-55.3,9,,2,,
Collinder 228,10 42 04,-59 55 00,287.668,-1.047,2201,12.77,0.342,6.83,O5,-40.2,14,,-12,-6.55,2.03
Collinder 232,10 44 59,-59 33 00,287.493,-0.544,2996,14.15,0.57,6.67,B0,-28.4,4,,,,
Collinder 234,10 45 21,-59 45 00,287.643,-0.675,,,,,,,4,,,,
Collinder 236,10 57 17,-61 06 36,289.58,-1.23,800,9.73,0.07,8.37,A0,-17.2,24,,,-3.57,3.02
Collinder 240,11 11 40,-60 19 00,290.875,0.205,1577,11.95,0.31,7.16,B2,5.6,20,,,,
Collinder 258,12 27 10,-60 46 00,299.971,1.965,1184,10.86,0.16,8.032,,40.6,5,,,-8.07,-0.8
Collinder 261,12 37 57,-68 22 00,301.684,-5.528,2190,12.54,0.27,9.95,A0,-211,9,-0.14,,,
Collinder 268,13 18 13,-67 05 00,305.541,-4.347,1963,12.42,0.308,8.759,,-148.8,5,,,,
Collinder 269,13 23 31,-66 10 48,306.16,-3.51,1300,11.41,0.27,8.52,,-79.6,20.4,,,-7.95,-3.93
Collinder 271,13 29 54,-64 12 00,307.103,-1.64,1169,11.23,0.287,8.322,,-33.5,5,,,,
Collinder 272,13 30 26,-61 19 00,307.595,1.202,2045,13.01,0.47,7.227,,42.9,10,,,-2.48,-2.56
Collinder 275,13 34 39,-60 12 00,308.281,2.222,,,,,,,11,,,,
Collinder 277,13 48 00,-66 04 00,308.672,-3.832,,,,,,,12,,,,
Collinder 285,14 41 06,+69 34 00,109.867,44.677,25,1.99,0,8.3,A0,17.6,400,,,,
Collinder 292,15 49 51,-57 37 11,325.04,-2.62,1500,11.19,0.1,8.73,,-68.6,24,,,-1.6,-2.52
Collinder 299,16 18 42,-55 07 00,329.697,-3.405,,,,,,,29,,,,
Collinder 302,16 26 08,-26 15 00,351.583,15.733,,,,,,,500,,,,
Collinder 307,16 35 20,-51 00 00,334.399,-2.347,1300,13.17,0.84,8.4,,-53.2,5,,,,
Collinder 316,16 55 30,-40 50 00,344.393,1.613,,,,,,,100,,,,
Collinder 33,02 59 16,+60 24 00,138.09,1.34,1000,11.24,0.4,8.36,,23.4,43.2,,-6.75,2.7,3.17
Collinder 332,17 30 48,-37 05 00,351.456,-1.734,,,,,,,2,,,,
Collinder 333,17 31 29,-34 01 12,354.09,-0.17,855,10,0.11,8.9,,-2.5,18,,,0.68,-4.88
Collinder 338,17 38 06,-37 43 12,351.7,-3.29,880,10.5,0.25,8.65,,-50.5,31.2,,,2.89,-3.97
Collinder 34,03 00 54,+60 25 00,138.026,1.5,,,,,,,25,,,,
Collinder 345,17 44 36,-33 45 00,355.677,-2.383,,,,,,,5,,,,
Collinder 347,17 46 18,-29 20 00,359.738,-0.334,1514,14.5,1.16,7.08,,-8.8,10,,,,
Collinder 350,17 48 07,+01 21 00,26.79,14.69,280,8.38,0.37,8.61,,71,66,,,-3.55,0.02
Collinder 351,17 49 00,-28 44 09,0.555,-0.529,1310,12.76,0.7,8.2,,-12.1,7,,,,
Collinder 359,18 01 06,+02 54 00,29.75,12.517,249,7.58,0.193,7.506,B3,54,240,,,0.14,-9.1
Collinder 367,18 09 43,-23 39 35,7.27,-2.02,1200,11.48,0.35,6.84,B1,-42.3,48,,-3.17,1.16,-2.03
Collinder 394,18 52 28,-20 19 00,14.883,-9.236,690,9.92,0.235,7.803,,-110.7,22,,6,-2.42,-7.2
Collinder 399,19 25 24,+20 11 00,54.677,1.948,1291,11.72,0.377,8.205,,43.9,89,,,0.34,-5.8
Collinder 401,19 38 24,+00 20 00,38.651,-10.262,,,,,,,1,,,,
Collinder 419,20 17 59,+40 43 12,78.07,2.79,740,10.4,0.34,6.85,B2,36,30,,-8.19,-2.56,-6.99
Collinder 421,20 23 10,+41 41 35,79.43,2.542,950,10.2,0.1,9.06,,42.1,14.4,,,-4.63,-9.73
Collinder 427,20 59 30,+68 10 00,103.998,14.262,,,,,,,4,,,,
Collinder 428,21 03 12,+44 35 00,86.212,-1.41,,,,,,,10,,,,
Collinder 463,01 48 24,+71 57 00,127.192,9.389,702,10.03,0.259,8.373,,114.5,29,,,-0.91,-0.9
Collinder 464,05 22 24,+73 17 00,138.373,19.61,,,,,,,120,,,,
Collinder 465,07 07 12,-10 37 00,224.059,-1.406,,,,,,,9,,,,
Collinder 466,07 07 18,-10 49 00,224.224,-1.472,,,,,,,4,,,,
Collinder 467,07 39 18,-10 33 00,227.832,5.619,,,,,,,2,,,,
Collinder 468,18 06 36,-27 28 00,3.6,-3.25,,,,,,,10,,,,
Collinder 469,18 16 15,-18 16 00,12.733,-0.871,1481,12.15,0.418,7.799,,-22.5,3,,,,
Collinder 471,22 07 06,+72 00 00,110.898,13.084,,,,,,,130,,,,
Collinder 62,05 22 30,+41 00 00,167.277,2.684,,,,,,,28,,,,
Collinder 65,05 26 05,+15 41 59,188.86,-10.86,310,7.86,0.13,7.41,,-58.4,288,,17.4,1.16,-6.46
Collinder 69,05 35 06,+09 56 00,195.048,-12.003,441,8.54,0.103,7.05,O8,-91.7,70,,,0.45,-2.4
Collinder 70,05 35 31,-01 06 00,205.03,-17.35,391,8.09,0.04,6.71,,-116.6,180,,19.49,0.36,-0.68
Collinder 74,05 48 30,+07 24 00,199.031,-10.389,2510,13.18,0.38,9.11,,-452.6,5,,,,
Collinder 89,06 19 29,+23 17 59,188.65,3.83,800,11,0.48,7.5,B0,53.4,60,,26.23,0.42,-2.15
Collinder 91,06 21 42,+02 22 00,207.415,-5.522,,,,,,,13,,,,
Collinder 92,06 22 54,+05 07 00,205.109,-3.981,,,,,,,11,,,,
Collinder 95,06 31 04,+09 53 59,201.81,0.03,556,9.03,0.1,8.36,,0.3,24,,-11,-1.81,-4.62
Collinder 96,06 30 18,+02 52 00,207.964,-3.386,962,11.5,0.51,7.031,,-56.8,12,,,0.44,-1.64
Collinder 97,06 31 18,+05 55 00,205.37,-1.758,630,9,0,8,B0,-19.3,25,,,-0.76,-2.5
Czernik 1,00 07 38,+61 28 30,117.726,-0.953,,,,,,,4,,,,
Czernik 10,02 33 54,+60 10 00,135.352,-0.211,,,,,,,4,,,,
Czernik 11,02 36 35,+59 38 00,135.87,-0.571,,,,,,,5,,,,
Czernik 12,02 39 12,+54 55 00,138.079,-4.754,,,,,,,3,,,,
Czernik 13,02 44 42,+62 21 00,135.659,2.31,3961,15.33,0.755,6.854,,159.7,4,,,,
Czernik 14,03 16 54,+58 36 00,140.929,0.906,,,,,,,4,,,,
Czernik 15,03 23 12,+52 15 00,145.1,-3.966,,,,,,,4,,,,
Czernik 16,03 30 48,+52 39 00,145.837,-2.986,,,,,,,5,,,,
Czernik 17,03 52 24,+61 57 00,142.557,6.185,,,,,,,4,,,,
Czernik 18,04 28 00,+30 56 00,168.287,-12.287,955,9.9,0.43,8.9,,-203.2,5,,,,
Czernik 19,04 57 09,+28 46 47,174.099,-8.832,2525,14.25,0.85,8,,-387.7,14,,,,
Czernik 2,00 43 42,+60 09 00,121.968,-2.707,,,,,,,10,,,,
Czernik 20,05 20 06,+39 28 00,168.286,1.444,,,,,,,4,,,,
Czernik 21,05 26 30,+36 00 00,171.88,0.415,3000,15.05,0.86,9.2,,21.7,7,,,,
Czernik 23,05 49 42,+28 56 00,180.464,0.762,,,,,,,5,,,,
Czernik 24,05 55 27,+20 52 59,188.059,-2.211,4100,14.74,0.54,9.25,,-158.2,5,-0.41,,,
Czernik 25,06 13 06,+06 59 00,202.309,-5.258,,,,,,,2,,,,
Czernik 26,06 30 58,-04 11 00,214.336,-6.456,6700,14.3,0.05,9.11,,-753.3,5,,,,
Czernik 27,07 03 22,+06 23 47,208.577,5.556,5800,14.28,0.15,8.8,,561.5,3,-0.02,,,
Czernik 29,07 28 18,-15 24 00,230.798,0.935,4168,14.59,0.48,8.3,,68,5,,,,
Czernik 3,01 03 06,+62 47 00,124.265,-0.058,,,,,,,1.5,,,,
Czernik 30,07 31 18,-09 58 00,226.369,4.173,6200,14.8,0.26,9.4,,451.2,3,,,,
Czernik 31,07 36 59,-20 32 00,236.29,0.264,,,,,,,5,,,,
Czernik 32,07 50 30,-29 51 00,245.89,-1.732,4100,15.7,0.85,9,,-120,3,,,,
Czernik 37,17 53 16,-27 22 00,2.213,-0.638,,,,,,,3,,,,
Czernik 38,18 49 42,+04 56 00,37.128,2.633,1280,13.92,1.09,9.05,,58.8,10,,,,
Czernik 39,19 07 44,+04 20 00,38.648,-1.639,,,,,,,5,,,,
Czernik 4,01 35 24,+61 16 00,128.179,-0.945,3010,14.1,0.55,7.6,,-49.6,4,,,,
Czernik 40,19 42 36,+21 09 14,57.476,-1.1,3090,15.52,0.99,8.9,,-59.3,4,,,,
Czernik 41,19 51 01,+25 16 07,62.005,-0.701,1360,14.64,1.28,8.7,,-16.6,7,,,,
Czernik 42,22 39 48,+59 54 54,107.124,1.147,,,,,,,2,,,,
Czernik 43,23 25 48,+61 19 11,112.841,0.134,2500,14.16,0.7,7.7,,5.7,20.4,,-58.05,-2.77,-2.2
Czernik 44,23 33 30,+61 57 00,113.908,0.452,,,,,,,4,,,,
Czernik 45,23 56 18,+64 33 00,117.05,2.31,,,,,,,2,,,,
Czernik 5,01 55 43,+61 21 01,130.558,-0.56,2750,15.92,1.2,8.45,,26.9,2,,,,
Czernik 6,02 02 00,+62 50 00,130.887,1.056,,,,,,,2,,,,
Czernik 7,02 02 24,+62 15 00,131.159,0.524,,,,,,,4,,,,
Czernik 8,02 33 00,+58 44 00,135.796,-1.579,1409,13.23,0.803,7.904,,-38.8,2,,,,
Czernik 9,02 33 32,+59 53 12,135.417,-0.487,1660,14.36,1.05,8.8,,-14.1,10,,,,
Danks 1,13 12 30,-62 41 00,305.339,0.073,,,,,,,1,,,,
Danks 2,13 12 54,-62 40 00,305.392,0.089,,,,,,,1.5,,,,
Dias 1,00 42 35,+64 04 05,121.964,1.213,1690,14.49,1.08,7.1,,35.8,4,,,,
Dias 11,20 04 08,+37 28 30,73.884,3.275,,,,,,,,,,,
Dias 2,06 09 11,+04 35 35,203.966,-7.254,2835,14.15,0.61,8.9,,-358,11,,,,
Dias 3,07 10 31,-08 25 39,222.6,0.365,4650,15.3,0.64,9.15,,29.6,16,,,,
Dias 4,13 43 25,-63 00 48,308.789,-0.734,2150,13.5,0.6,9.1,,-27.5,6.4,,,,
Dias 5,18 17 38,-19 40 12,11.65,-1.73,1760,12.25,0.33,7.14,,-53.1,14.4,,-5.25,1.92,-0.37
Dias 6,18 30 27,-12 19 40,19.588,-1.022,1580,13.81,0.91,8.78,,-28.2,8,,,,
Dias 7,19 49 21,+21 10 12,58.279,-2.454,2540,13.3,0.42,9.3,,-108.7,10,,,,
Dias 8,19 52 06,+11 38 04,50.336,-7.821,2220,12.65,0.3,9.35,,-302.1,10,,,,
Dol-Dzim 1,02 47 30,+17 16 00,158.617,-37.435,,,,,A0,,14,,,,
Dol-Dzim 10,20 05 48,+40 32 00,76.652,4.628,,,,,A0,,5,,,,
Dol-Dzim 11,20 51 00,+35 57 00,78.119,-5.241,,,,,A0,,5,,,,
Dol-Dzim 2,05 23 54,+11 28 00,192.24,-13.56,,,,,,,10,,,,
Dol-Dzim 3,05 33 42,+26 29 00,180.677,-3.538,,,,,B8,,10,,,,
Dol-Dzim 4,05 35 54,+25 57 00,181.393,-3.41,,,,,,,25,,,,
Dol-Dzim 5,16 27 24,+38 04 00,60.866,43.875,,,,,,,27,,,,
Dol-Dzim 6,16 45 24,+38 21 00,61.583,40.368,,,,,F5,,6,,,,
Dol-Dzim 7,17 10 36,+15 32 00,36.294,29.166,,,,,F0,,5,,,,
Dol-Dzim 8,17 26 12,+24 11 00,47.029,28.805,,,,,A5,,14,,,,
Dol-Dzim 9,18 08 48,+31 32 00,58.099,22.259,,,,,F0,,28,,,,
Dolidze 1,20 08 12,+36 33 00,73.538,2.094,,,,,,,5,,,,
Dolidze 10,20 26 18,+40 07 00,78.481,1.15,,,,,,,3,,,,
Dolidze 11,20 26 30,+41 27 00,79.59,1.892,,,,,O,,5,,,,
Dolidze 12,00 41 00,+60 51 00,121.66,-1.996,,,,,,,18,,,,
Dolidze 13,00 50 00,+64 08 00,122.775,1.262,,,,,,,10,,,,
Dolidze 14,04 06 36,+27 26 00,167.55,-18.079,,,,,,,10,,,,
Dolidze 15,05 04 36,+34 50 00,170.233,-3.893,,,,,,,18,,,,
Dolidze 16,05 14 36,+32 43 00,173.176,-3.475,,,,,,,5,,,,
Dolidze 17,05 22 24,+07 07 00,195.881,-16.143,,,,,,,12,,,,
