#
# http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=B/ocl/clusters
#
"P","Cluster","RAJ2000","DEJ2000","Class","Diam","Dist","E(B-V)","Age","pmRA","e_pmRA","pmDE","e_pmDE","Nc","K14","RV","e_RV","o_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","TrType","WEBDA","Lynga","recno","r_pmRA","r_RV"
" ","Berkeley 51      ","20 11 54","+34 24 06","  ",2,1300,1.6,9.05,-1.15,0.28,-1.37,0.28,101,"K14","       ","     ","   ","      ","      ","  ","1-1-p-n ","WEBDA","Lynga",1859,"K14",
" ","AH03 J2011+26.7  ","20 11 57","+26 44 08","  ",4.5,2567,0.9,7.35,0.29,0.02,-2.56,1.02,32,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1860,"D14",
" ","NGC 6885         ","20 12 01","+26 28 42","  ",20,597,0.08,9.16,-3.3,0.09,-5.14,0.09,689,"K14",-1.5,0.87,6,"      ","      ","  ","        ","WEBDA","Lynga",1861,"D14","FM09"
" ","Kronberger 72    ","20 12 19","+37 53 27","  ",2,1055,0.55,8.7,-2.99,0.56,-0.08,0.56,53,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1862,"K14",
" ","FSR 0178         ","20 13 08","+29 07 24","IR",6,3700,1.34,9.18,-0.89,0.48,-4.21,0.23,58,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1863,"D14",
" ","Kronberger 73    ","20 13 47","+36 44 55","  ",1.2,1695,0.97,8.6,-0.93,0.09,0.54,0.75,29,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1864,"D14",
" ","Berkeley 52      ","20 14 30","+28 56 48","  ",3,4900,1.5,9.3,-16.46,1.4,6.37,0.41,5,"K14","       ","     ","   ","      ","      ","  ","1-1-m-* ","WEBDA","Lynga",1865,"D14",
" ","FSR 0219         ","20 15 00","+41 10 46","IR",2.1,884,0.833,6.5,-2.85,0.47,-3.97,0.47,73,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1866,"K14",
" ","Patchick 75      ","20 15 02","+33 55 43","  ",1.5,1442,0.73,8.95,-1.5,0.02,-8.62,1.87,17,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1867,"D14",
" ","Dolidze 3        ","20 15 29","+36 51 47","  ",15,1032,0.562,8.29,-1.42,0.1,-4.13,0.11,532,"K14","       ","     ","   ","      ","      ","  ","3-2-m-n ","WEBDA","Lynga",1868,"D14",
"P","IC 4996          ","20 16 31","+37 39 19","  ",2.2,2398,0.71,6.87,-0.53,0.69,-4.34,0.69,15,"K14",-13,3,"   ","      ","      ","  ","        ","WEBDA","Lynga",1869,"TYC","RGDZ"
" ","Alessi Teutsch 11","20 16 32","+52 04 30","  ",26.4,550,0.08,8.15,-0.06,0.1,-1.46,0.12,1015,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1870,"D14",
" ","FSR 0195         ","20 16 51","+33 37 36","IR",3.6,2331,1.437,9.345,4.5,0.06,-2.72,0.06,13,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1871,"D14",
" ","vdBergh 130      ","20 17 42","+39 21 00","  ",6,1589,0.916,7.4,-3.61,0.47,-4.58,0.48,50,"K14","       ","     ","   ","      ","      ","  ","2-2-p-n ","WEBDA","Lynga",1872,"D14",
" ","Feibelman 1      ","20 17 47","+38 02 00","  ",5,1457,2.124,6.7,-2.35,0.1,-2.24,0.23,121,"K14",-8.9,0.74,1,"      ","      ","  ","        ","WEBDA","Lynga",1873,"D14","D14"
" ","Dolidze 4        ","20 17 56","+36 42 19","d ",8.7,"     ","      ","      ",-1.62,0.78,-3.08,0.9,107,"K14","       ","     ","   ","      ","      ","  ","4-1-p-n ","WEBDA","Lynga",1874,"D14",
" ","Dolidze 40       ","20 17 56","+37 55 59","OC",16.5,2702,1.062,8.4,-0.22,0.12,-0.77,0.14,668,"K14",-8.9,0.74,1,"      ","      ","  ","3-1-p-n ","WEBDA","Lynga",1875,"D14","D14"
" ","Kronberger 74    ","20 17 57","+36 45 37","  ",1.1,1760,0.87,9,14.64,0.93,20.68,0,11,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1876,"D14",
" ","Collinder 419    ","20 18 07","+40 43 55","  ",4,740,0.34,6.85,-2.15,0.07,-6.28,0.01,51,"K14",-8.22,2.79,2,"      ","      ","  ","4-2-p-* ","WEBDA","Lynga",1877,"D14","D14"
" ","FSR 0232         ","20 18 14","+42 37 50","IR",3.1,1546,0.791,8.15,0.81,0.92,-3.47,1.72,22,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1878,"D14",
" ","Teutsch 124      ","20 18 21","+31 12 22","  ",4,840,1.82,9.84,0.34,0.01,-2.77,0.14,45,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1879,"D14",
" ","Dolidze 41       ","20 18 49","+37 45 00","  ",11,"     ","      ","      ",-0.61,0.16,-0.57,0.15,329,"K14",-1,3.7,2,"      ","      ","  ","4-1-p-* ","WEBDA","Lynga",1880,"D14","D14"
" ","Berkeley 85      ","20 18 55","+37 45 33","  ",5,1760,0.77,9,-1.45,0.3,-1.52,0.2,142,"K14","       ","     ","   ","      ","      ","  ","3-1-m-* ","WEBDA","Lynga",1881,"D14",
" ","FSR 0223         ","20 19 40","+40 55 40","IR",1.8,2466,1.832,6.55,-2.7,0.5,-4.8,0.5,141,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1882,"K14",
"P","Dolidze 42       ","20 19 42","+38 08 00","  ",7,972,0.571,7.542,-1.14,0.23,-0.53,0.37,136,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1883,"D14",
" ","FSR 0222         ","20 20 05","+40 50 11","IR",1.2,1238,1.666,7.2,2.94,0.04,-5.65,0.04,8,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1884,"D14",
" ","Dolidze 5        ","20 20 10","+39 19 50","d ",7.5,969,0.521,8.1,-2.59,0.04,-5.5,0.18,122,"K14",-35,0,1,"      ","      ","  ","3-3-m-n ","WEBDA","Lynga",1885,"D14","K14"
"P","Berkeley 86      ","20 20 24","+38 42 00","v ",6,1112,0.898,7.116,-4.56,0.01,-5.56,0.01,73,"K14",-25.54,2.6,2,"      ","      ","  ","        ","WEBDA","Lynga",1886,"D14","FM09"
" ","Dolidze 6        ","20 20 32","+41 21 24","d ",7.8,"     ","      ","      ",-0.62,0.63,-4.51,0.91,29,"K14",-9,10,1,"      ","      ","  ","4-2-p-n ","WEBDA","Lynga",1887,"D14","D14"
" ","Kronberger 58    ","20 20 48","+41 12 17","  ",0.2,1515,1.35,8.2,"       ","     ","       ","     ","     ","K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1888,"   ",
" ","Berkeley 88      ","20 21 36","+48 05 00","  ",2,6319,0.88,9.2,-2.49,0.6,-4.02,0.6,12,"K14","       ","     ","   ","      ","      ","  ","4-1-p-* ","WEBDA","Lynga",1889,"K14",
"P","Berkeley 87      ","20 21 42","+37 22 00","  ",10,633,1.369,7.152,-1.93,0.26,-3.11,0.29,99,"K14",-65,84.8,1,"      ","      ","  ","        ","WEBDA","Lynga",1890,"D14","D14"
" ","NGC 6904         ","20 21 48","+25 44 24","  ",8,1355,0.39,9,-1.01,0.29,-5.88,0.22,232,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1891,"D14",
" ","Collinder 421    ","20 23 10","+41 41 35","  ",3.6,1050,0.64,8.4,-3.61,0.02,-11.58,0.2,21,"K14","       ","     ","   ","      ","      ","  ","3-1-p-n ","WEBDA","Lynga",1892,"D14",
"P","NGC 6910         ","20 23 12","+40 46 42","  ",10,1139,0.971,7.127,-2.46,0.14,-6.02,0.07,156,"K14",-31.57,2.05,3,"      ","      ","  ","        ","WEBDA","Lynga",1893,"D14","D14"
" ","Kronberger 57    ","20 23 57","+36 36 18","  ",2.2,1295,1.06,8.2,-2.35,0.69,-2.01,0.69,26,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1894,"K14",
"P","NGC 6913         ","20 23 57","+38 30 30","  ",10,1540,1.03,6.7,-3.21,0.15,-4.56,0.16,131,"K14",-16.9,0.6,"   ","      ","      ","  ","        ","WEBDA","Lynga",1895,"D14","BMTB"
" ","Majaess 207      ","20 24 13","+35 52 21","IR",7,"     ","      ","      ",0.8,0.33,-16.49,0.7,70,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1896,"D14",
" ","Dolidze 8        ","20 24 23","+42 16 52","  ",7.3,1078,1.666,8.855,-12.96,0.2,-4.4,0.83,3,"K14","       ","     ","   ","      ","      ","  ","1-2-p-n ","WEBDA","Lynga",1897,"D14",
" ","Berkeley 89      ","20 24 36","+46 03 00","  ",3,2040,1.05,9.05,-1.86,0.5,-3.62,0.01,66,"K14","       ","     ","   ","      ","      ","  ","3-1-p-* ","WEBDA","Lynga",1898,"D14",
" ","FSR 0239         ","20 24 46","+42 49 04","IR",4.4,"     ","      ","      ",1.59,0.61,-16.2,1.78,13,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1899,"D14",
" ","FSR 0224         ","20 25 21","+40 13 37","IR",2,1427,0.708,9.005,-5.25,0.54,-7.05,0.54,40,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1900,"K14",
" ","Dolidze 9        ","20 25 42","+41 56 00","  ",5,1063,0.833,8,4.2,0.78,-11.71,2.01,11,"K14","       ","     ","   ","      ","      ","  ","4-2-p-n ","WEBDA","Lynga",1901,"D14",
" ","Dolidze 10       ","20 26 18","+40 07 00","d ",3,"     ","      ","      ",-0.46,0.03,-4.02,3.34,9,"K14","       ","     ","   ","      ","      ","  ","4-1-p-n ","WEBDA","Lynga",1902,"D14",
" ","Dolidze 11       ","20 26 30","+41 27 00","d ",5,1813,0.645,7.35,-3.05,0.6,-5.87,0.54,48,"K14",-14,0,1,"      ","      ","  ","4-3-p-n ","WEBDA","Lynga",1903,"D14","K14"
" ","FSR 0210         ","20 26 37","+37 16 52","IR",4.3,1087,0.833,8.8,1.46,0.53,-0.33,0.56,29,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1904,"D14",
" ","ESO 026 02       ","20 26 38","-80 00 12","d ",8,2473,0.104,9.7,0.96,1.1,-4.82,1.07,37,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1905,"D14",
" ","FSR 0213         ","20 26 59","+38 58 32","IR",6.4,1434,0.833,8.715,-0.53,0.71,-3.16,0.37,59,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1906,"D14",
" ","Teutsch 30       ","20 27 43","+36 04 32","  ",3.2,1600,1.24,6.9,1.34,0.14,-6.55,0.53,35,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1907,"D14",
" ","Teutsch 28       ","20 28 19","+35 06 55","  ",4.4,3100,1.44,9.95,3.02,0.62,-0.83,1.13,22,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1908,"D14",
" ","Roslund 6        ","20 28 49","+39 19 36","  ",24,450,0.06,8.47,-0.52,0.21,-4.17,0.22,350,"K14","       ","     ","   ","      ","      ","  ","4-3-m-n ","WEBDA","Lynga",1909,"D14",
" ","Dolidze 44       ","20 29 42","+41 43 00","  ",10,1499,0.687,8.155,-0.61,0.41,-5.44,0.63,93,"K14","       ","     ","   ","      ","      ","  ","4-2-p-n ","WEBDA","Lynga",1910,"D14",
" ","Wit 4            ","20 30 35","+44 18 55","e ","      ",1456,0.885,8,-1.14,0.36,-5.44,0.36,217,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1911,"K14",
"P","NGC 6939         ","20 31 30","+60 39 42","v ",10,1800,0.33,9.2,-2.37,0.09,-5.29,0.08,285,"K14",-42,10,4,0,0.1,"  ","        ","WEBDA","Lynga",1912,"D14","TFV"
" ","FSR 0236         ","20 32 44","+41 27 08","IR",3.9,901,1.172,8.2,0.1,0.29,-1.01,0.29,303,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1913,"K14",
" ","Bica 1           ","20 33 10","+41 13 07","  ",3,1800,2.12,6.6,-1.67,0.31,-2.07,0.39,27,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1914,"D14",
" ","Bica 2           ","20 33 15","+41 18 45","  ",5,1800,1.82,6.6,-0.49,0.23,-3.56,0.27,74,"K14",-28,18,1,"      ","      ","  ","        ","WEBDA","Lynga",1915,"D14","D14"
" ","FSR 0260         ","20 33 40","+45 38 35","IR",2.2,1318,0.625,8.93,-5.9,0.63,0.68,0.63,63,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1916,"K14",
" ","Kronberger 59    ","20 33 50","+40 08 53","  ",1,780,0.84,8,-2.47,0.91,0.01,0.91,12,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1917,"K14",
"P","NGC 6940         ","20 34 26","+28 17 00","  ",25,770,0.214,8.858,-3.4,0.07,-4.47,0.14,877,"K14",7.89,0.14,21,0.013,0.13,6,"        ","WEBDA","Lynga",1918,"D14","MMU"
" ","NGC 6938         ","20 34 42","+22 12 54","  ",7.2,1250,0.13,9.11,0.55,0.54,-3.55,0.37,105,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1919,"D14",
" ","FSR 0238         ","20 34 47","+41 24 56","IR",3.7,3091,1.707,6.77,-1.03,0.41,-3.55,0.41,78,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1920,"K14",
" ","FSR 0247         ","20 34 57","+42 55 20","IR",0.4,"     ","      ","      ","       ","     ","       ","     ","     ","K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1921,"   ",
" ","Patchick 103     ","20 35 08","+53 18 00","  ",1.3,2220,0.71,8.9,6.8,1.78,2.35,0.72,7,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1922,"D14",
" ","Berkeley 90      ","20 35 18","+46 50 00","  ",5,2070,1.19,8.05,-2.13,0.32,-0.52,0.37,77,"K14","       ","     ","   ","      ","      ","  ","2-1-p-n ","WEBDA","Lynga",1923,"D14",
" ","FSR 0255         ","20 35 53","+44 19 31","IR",0.7,1233,1.666,7.9,-2.17,0.49,-3.66,0.49,98,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1924,"K14",
" ","Majaess 209      ","20 37 21","+47 14 04","IR",2,"     ","      ","      ","       ","     ","       ","     ","     ","K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1925,"   ",
" ","FSR 0245         ","20 38 05","+42 13 52","IR",1.2,1186,1.332,8.58,1.98,0.63,0.76,0.63,21,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1926,"K14",
" ","FSR 0249         ","20 38 24","+42 30 03","IR",4,1790,1.353,6.1,3.22,1.15,-3.17,1.03,14,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1927,"D14",
" ","FSR 0251         ","20 40 14","+42 58 33","IR",2.7,857,1.041,8.7,-1.77,0.62,-3.28,0.62,117,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1928,"K14",
" ","FSR 0246         ","20 40 31","+42 03 00","IR",3.6,"     ","      ","      ",5.68,1.49,1.21,2.38,8,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1929,"D14",
" ","NGC 6950         ","20 41 04","+16 37 06","  ",15,1070,0.06,9.26,-1.77,0.21,-3.62,0.2,299,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1930,"D14",
" ","Ruprecht 173     ","20 41 48","+35 33 00","d ",39,1791,0.729,8.8,-3.52,0.07,-5.19,0.06,2387,"K14",-7.1,0.74,2,"      ","      ","  ","2-2-p-* ","WEBDA","Lynga",1931,"D14","D14"
" ","Dolidze 47       ","20 41 55","+36 34 37","OC",11,2293,0.77,8.4,-2.28,0.17,-3.57,0.19,223,"K14","       ","     ","   ","      ","      ","  ","3-2-p-* ","WEBDA","Lynga",1932,"D14",
" ","FSR 0225         ","20 42 53","+37 49 44","IR",3,1150,2.165,8.865,-2.23,0.02,-4.19,0.51,27,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1933,"D14",
" ","Turner 11        ","20 43 24","+35 35 18","  ",8.2,1905,1.13,8.6,-3.58,0.26,-5.41,0.17,127,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1934,"D14",
" ","Ruprecht 174     ","20 43 31","+37 01 27","  ",9.6,2110,0.32,8.9,-2.73,0.23,-4.49,0.14,249,"K14","       ","     ","   ","      ","      ","  ","4-1-p-* ","WEBDA","Lynga",1935,"D14",
" ","Alessi 12        ","20 43 48","+23 47 30","  ",40,537,0.08,8.1,4.33,1.44,-5.35,1.44,28,"K14",-26,3.7,1,"      ","      ","  ","4-3-m-* ","WEBDA","Lynga",1936,"AMD","D14"
" ","FSR 0248         ","20 43 57","+41 39 27","IR",2.6,"     ","      ","      ","       ","     ","       ","     ","     ","K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1937,"   ",
" ","FSR 0258         ","20 44 50","+43 54 54","IR",1.6,1238,1.666,8.3,21.47,0.5,-23.72,0.06,3,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1938,"D14",
"P","Ruprecht 175     ","20 45 12","+35 30 00","  ",14,4431,0.521,9,-2.6,0.14,-4.4,0.1,588,"K14","       ","     ","   ","      ","      ","  ","4-2-m-* ","WEBDA","Lynga",1939,"D14",
" ","FSR 0237         ","20 45 30","+39 36 40","IR",2.8,1656,2.811,8.1,-0.94,0.52,-2.95,0.52,73,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1940,"K14",
" ","FSR 0274         ","20 49 07","+47 53 41","IR",1.6,2153,1.041,7.8,-3.18,0.02,5.01,0.33,24,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1941,"D14",
" ","SAI 137          ","20 49 53","+41 15 18","  ",6,1060,0.89,8.7,-3.26,0.09,-8.75,0.02,19,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1942,"D14",
" ","Dol Dzim 11      ","20 51 00","+35 57 00","  ",3,2545,0.42,9.3,-2.22,0.56,-2.6,0.02,44,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1943,"D14",
" ","Roslund 7        ","20 52 08","+37 53 44","d ",20,700,0.2,8.67,-3.55,0.15,-5.75,0.15,540,"K14",-22,3,1,"      ","      ","  ","4-2-p-* ","WEBDA","Lynga",1944,"D14","K07"
" ","Barkhatova 1     ","20 53 42","+46 02 00","d ",20,833,0.2,"      ",-2.49,0.06,-2.82,0.04,1049,"K14",-1,3.7,1,"      ","      ","  ","        ","WEBDA","Lynga",1945,"D14","D14"
" ","FSR 0261         ","20 53 48","+43 06 35","IR",2,852,1.395,8.275,-1.7,0.3,-3.6,0.3,199,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1946,"K14",
" ","NGC 6991         ","20 54 54","+47 25 00","n ",25,700,0,9.11,-1.5,0.13,1.94,0.12,1218,"K14",-21.77,0.91,3,"      ","      ","  ","3-3-p-n ","WEBDA","Lynga",1947,"D14","D14"
" ","FSR 0284         ","20 56 28","+49 22 07","IR",3.6,1887,0.687,8.775,-2.71,0.34,-3.22,0.34,121,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1948,"K14",
" ","NGC 6997         ","20 56 30","+44 39 00","  ",8,741,0.687,8.9,-3.89,0.11,-6.45,0.09,150,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1949,"D14",
"P","NGC 6996         ","20 56 30","+44 38 00","v ",14,760,0.52,8.54,-2.9,2.3,-8.4,2.3,3,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1950,"VBC",
" ","Berkeley 53      ","20 56 36","+51 05 00","  ",22,3100,1.52,9.09,-3.51,0.12,0.32,0.19,393,"K14","       ","     ","   ",-0.09,0.06,4,"3-2-m-* ","WEBDA","Lynga",1951,"D14",
" ","FSR 0275         ","20 56 36","+46 53 30","IR",3.8,3948,0.833,8.91,-3.52,0.31,-0.98,0.31,160,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1952,"K14",
" ","FSR 0290         ","20 59 09","+50 46 46","IR",4.3,1201,0.802,8.92,-1.41,0.54,2.42,0.83,8,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1953,"D14",
" ","Collinder 427    ","21 00 37","+68 09 35","nf",4,"     ","      ","      ",-11.04,2.7,-6.69,2.16,13,"K14","       ","     ","   ","      ","      ","  ","4-1-p-n ","WEBDA","Lynga",1954,"D14",
" ","FSR 0273         ","21 01 40","+44 48 51","IR",1.9,2220,0.833,8.745,-5.79,0.34,-0.9,0.34,197,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1955,"K14",
" ","Teutsch 22       ","21 01 41","+44 06 43","  ",2,2700,0.86,8.55,-5.1,0.46,-2,0.46,82,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1956,"K14",
" ","NGC 7011         ","21 01 49","+47 21 12","  ",4.4,1236,1.08,8.6,-5.06,0.44,1.64,0.07,34,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1957,"D14",
" ","FSR 0282         ","21 02 18","+48 07 00","IR",4.3,2533,0.874,9.24,-4.85,0.02,-4.43,0.46,41,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1958,"D14",
" ","Collinder 428    ","21 03 12","+44 35 00","  ",10,1000,0.1,"      ",-3.13,0.16,-1.47,0.09,303,"K14","       ","     ","   ","      ","      ","  ","4-1-p-n ","WEBDA","Lynga",1959,"D14",
"P","Berkeley 54      ","21 03 12","+40 28 00","  ",4,2300,0.77,9.6,-1.87,0.16,-5.43,0.02,30,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1960,"D14",
" ","SAI 141          ","21 03 47","+46 58 50","  ",3,4940,0.94,8.6,-5.03,0.65,-2.22,0.49,85,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1961,"D14",
" ","Teutsch 156      ","21 03 47","+47 12 54","  ",3,3930,0.94,8.95,-4.84,0.55,3.03,0.57,44,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1962,"D14",
" ","FSR 0270         ","21 04 11","+44 20 57","IR",1.5,1758,0.854,8.255,-1.47,0.13,-0.74,0.02,41,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1963,"D14",
" ","NGC 7024         ","21 06 09","+41 29 18","  ",5,1760,1.1,8.7,-2.54,0.21,-3.38,0.01,64,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1964,"D14",
"P","NGC 7031         ","21 07 12","+50 52 30","  ",14,900,0.854,8.138,-2.87,0.2,-4.77,0.11,191,"K14",0.24,0.2,1,"      ","      ","  ","        ","WEBDA","Lynga",1965,"D14","MMU"
" ","FSR 0288         ","21 08 08","+49 00 07","IR",3.1,1734,0.791,8.47,-1.85,0.3,-4.06,0.53,47,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1966,"D14",
" ","NGC 7036         ","21 10 02","+15 31 00","p ",4,1000,0.1,9.5,1.44,0.62,-5.68,1.01,25,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1967,"D14",
"P","Basel 12         ","21 10 30","+46 14 00","  ",4,1466,0.57,8.5,-2.73,0.14,-1.82,0.26,119,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1968,"D14",
" ","Dolidze 45       ","21 10 46","+37 34 28","OC",16.2,2928,0.521,8.935,-0.12,0.17,-3.08,0.14,458,"K14","       ","     ","   ","      ","      ","  ","3-2-m-n ","WEBDA","Lynga",1969,"D14",
"P","NGC 7039         ","21 10 48","+45 37 00","  ",14,951,0.131,7.82,-0.48,0.5,-2.99,0.47,2,"K14",-12.2,0.7,1,"      ","      ","  ","        ","WEBDA","Lynga",1970,"BDW","D14"
" ","SAI 143          ","21 10 51","+50 18 31","  ",3,6520,1.72,9.25,-3.61,0.78,-6.14,0.02,19,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1971,"D14",
" ","Berkeley 91      ","21 10 52","+48 32 12","  ",3,4100,1.2,9.35,-3.41,0.01,-2.6,0.24,52,"K14","       ","     ","   ",-0.13,0.04,2,"2-1-p-* ","WEBDA","Lynga",1972,"D14",
" ","NGC 7037         ","21 10 54","+33 45 48","  ",5,1760,1.1,8.7,0.77,0.28,-3.53,0.39,80,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1973,"D14",
" ","Kronberger 80    ","21 11 50","+52 22 48","  ",1.7,1355,1.29,8.85,-3.03,0.63,-3.96,0.63,9,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1974,"K12",
" ","ASCC 113         ","21 12 00","+38 36 00","  ",56.4,450,0,8.14,1.04,0.22,-4.22,0.24,34,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1975,"K05",
"P","IC 1369          ","21 12 06","+47 44 00","  ",5,2083,0.572,8.64,-3.36,0.01,-5.37,0.3,113,"K14","       ","     ","   ",0.09,0.03,4,"        ","WEBDA","Lynga",1976,"D14",
"P","Basel 13         ","21 12 18","+46 34 00","  ",10,1236,0.34,8.8,-3.01,0.12,-2.75,0.09,412,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1977,"D14",
" ","FSR 0302         ","21 12 20","+52 31 58","IR",0.6,"     ","      ","      ","       ","     ","       ","     ","     ","K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1978,"   ",
"P","NGC 7044         ","21 13 09","+42 29 42","  ",6,3326,0.66,9.1,-2.18,0.01,-4.97,0.01,168,"K14",-50.56,2.18,10,-0.16,0.09,10,"        ","WEBDA","Lynga",1979,"D14","WC09"
" ","Majaess 211      ","21 13 15","+46 22 09","IR",5,"     ","      ","      ",-2.41,0.17,-3.3,0.01,106,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1980,"D14",
"P","Basel 15         ","21 15 54","+48 51 00","  ",6,1355,0.67,8.5,-3.82,0.35,-4.45,0.36,88,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1981,"D14",
" ","Berkeley 55      ","21 16 58","+51 45 32","  ",4.2,3981,1.85,7.7,-5.93,0.44,-12.57,0.03,21,"K14","       ","     ","   ","      ","      ","  ","3-1-m-* ","WEBDA","Lynga",1982,"D14",
" ","Berkeley 56      ","21 17 42","+41 49 36","  ",2,12100,0.4,9.6,-0.56,0.47,-0.07,0.47,31,"K14","       ","     ","   ","      ","      ","  ","2-1-m-* ","WEBDA","Lynga",1983,"K14",
" ","NGC 7055         ","21 19 30","+57 34 12","  ",5,1275,1.1,8.9,0.38,0.59,4.3,0.89,32,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1984,"D14",
"P","Basel 14         ","21 21 18","+44 49 00","  ",5,964,0.65,8.3,-1.85,0.52,0.81,0.14,100,"K14","       ","     ","   ","      ","      ","  ","        ","WEBDA","Lynga",1985,"D14",
